mendeley_count,citeulike_count,connotea_count,blogs_count,news_count,twitter_count,wikipedia_count,facebook_count,googleplus_count,policy_count,median (12)
39,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
116,0,0,0,0,0,0,0,0,1,1
203,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,1,0
20,0,0,0,0,0,0,0,0,1,0
0,0,0,2,0,0,0,0,0,0,1
28,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1
25,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
12,0,0,1,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,0,0,0
71,1,0,0,0,0,0,0,0,1,0
1,0,0,0,0,1,0,0,0,0,1
229,0,0,0,0,0,0,0,0,1,1
53,0,0,1,0,0,0,0,0,1,1
27,0,0,0,0,0,0,0,0,1,0
10,0,0,0,0,7,0,0,0,0,1
15,1,0,0,0,2,0,0,0,0,1
210,0,1,0,0,2,1,0,0,0,1
9,0,0,0,0,0,0,0,0,2,0
18,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,0,0,0,0,1,0
136,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
4,0,0,0,0,2,0,0,0,0,1
243,1,0,0,0,0,0,0,0,1,1
0,0,0,0,0,1,0,0,0,0,1
150,2,0,0,2,0,1,0,0,0,1
12,0,0,0,0,0,0,0,0,2,0
138,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
38,4,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,2,0,0,0,1
10,0,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0,1,0
229,0,0,1,5,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
101,0,0,0,0,0,0,0,0,2,0
29,0,0,0,0,0,0,0,0,1,0
36,0,0,0,0,0,0,0,0,1,0
69,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,1,0
98,0,0,0,0,0,0,0,0,2,0
47,0,0,0,0,0,0,0,0,2,0
25,0,0,0,0,0,0,0,0,1,0
1,1,0,0,0,0,0,0,0,2,0
41,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
101,0,0,0,0,0,1,0,0,0,1
4,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,1,0,0,0,1
7,0,0,0,0,0,0,0,0,1,0
26,0,0,0,0,0,0,0,0,2,1
0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,2,0
13,0,0,0,0,0,4,0,0,0,1
23,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
0,0,0,4,2,0,0,0,0,0,1
248,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
91,0,0,0,0,0,0,0,0,2,0
40,0,0,0,0,0,0,0,0,1,0
42,0,0,0,0,0,0,0,0,1,0
118,0,1,0,0,0,0,0,0,1,1
0,0,0,0,0,0,3,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
16,0,0,0,0,0,0,0,0,1,1
77,0,0,0,0,0,0,0,0,1,0
129,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
21,0,0,0,0,0,0,0,0,2,0
26,0,0,0,0,2,0,0,0,0,1
9,0,0,0,0,0,0,0,0,1,0
14,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,2,0
106,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1
11,0,0,0,0,0,0,0,0,1,0
63,2,0,0,0,2,0,0,0,2,1
29,0,0,0,0,0,0,0,0,3,1
57,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
2,0,0,0,0,0,0,0,0,6,1
10,0,0,0,0,1,0,0,0,0,1
21,2,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,4,1
23,0,0,0,0,1,0,0,0,0,1
5,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1
7,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,1
7,0,0,0,0,62,0,0,0,0,1
16,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
27,0,0,0,0,0,0,0,0,1,1
7,0,0,0,0,0,0,0,0,3,1
279,0,0,0,1,0,0,0,0,1,1
11,0,0,0,0,1193,0,1,0,0,1
35,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
72,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
41,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,1
15,0,0,0,0,0,0,0,0,1,0
43,0,0,0,0,0,1,0,0,0,1
9,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0
145,3,2,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
271,1,0,0,0,1,0,0,0,1,1
2,0,0,0,0,0,0,0,0,2,1
6,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,2,0,0,0,1
9,0,0,0,0,2,0,0,0,0,1
0,0,0,0,0,0,2,0,0,0,1
45,0,0,0,0,0,0,0,0,1,0
3,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0
103,0,0,1,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,1,0
32,0,0,0,0,0,0,0,0,1,0
0,0,0,2,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,1
6,0,0,0,0,0,0,0,0,1,0
9,0,0,0,0,0,0,0,0,1,0
11,1,0,0,0,0,1,0,0,0,1
29,0,0,0,0,0,0,0,0,1,0
19,0,0,0,0,0,0,0,0,2,0
0,1,0,0,0,0,0,0,0,0,1
11,0,0,1,1,0,0,0,0,0,1
9,0,0,0,0,0,0,0,0,1,0
28,0,0,0,0,0,0,0,0,3,1
16,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,5,0,1,0,0,1
29,0,0,0,0,1,0,0,0,0,1
12,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,4,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,0,5,0
15,0,0,0,0,0,0,0,1,0,1
141,0,0,0,3,0,0,0,0,2,1
0,0,0,1,0,0,0,0,0,0,1
0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1
27,0,0,0,0,0,0,0,0,1,0
66,0,0,1,0,0,0,0,0,2,1
0,0,0,0,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,0,0,1
